"","from","to"
"69","AcevedoGutiérrezA","DiBerardinisA"
"237","AcevedoGutiérrezA","LarkinS"
"405","AcevedoGutiérrezA","LarkinK"
"573","AcevedoGutiérrezA","ForestellP"
"86","AlavaJ","CarvajalR"
"139","AlavaJ","MerlenG"
"159","AlonsoM","MarigoJ"
"327","AlonsoM","BertozziC"
"495","AlonsoM","SantosM"
"663","AlonsoM","TaniguchiS"
"831","AlonsoM","MontoneR"
"116","AltieriB","VianaD"
"284","AltieriB","MeirellesA"
"10","AriasA","RochaJ"
"178","AriasA","WeiskelH"
"346","AriasA","FidelixL"
"514","AriasA","DeHaroC"
"682","AriasA","CremerM"
"850","AriasA","LázaroM"
"1018","AriasA","SicilianoS"
"51","AuriolesGamboaD","SchrammY"
"219","AuriolesGamboaD","MesnickS"
"24","AzevedoA","FragosoA"
"192","AzevedoA","LailsonBritoJ"
"360","AzevedoA","CunhaH"
"123","BaldassinP","WerneckM"
"291","BaldassinP","BarbosaC"
"459","BaldassinP","GalloB"
"627","BaldassinP","GalloH"
"795","BaldassinP","WalshM"
"103","BermúdezVillapolL","SayeghA"
"271","BermúdezVillapolL","EstevezM"
"439","BermúdezVillapolL","RangelM"
"607","BermúdezVillapolL","RossoC"
"775","BermúdezVillapolL","VeraN"
"19","BertozziC","ZerbiniA"
"138","BolañosJiménezJ","FertlD"
"306","BolañosJiménezJ","IñíguezM"
"4","BordinoP","SicilianoS"
"172","BordinoP","BastidaR"
"340","BordinoP","CremerM"
"168","BorobiaM","PalaciosD"
"336","BorobiaM","WellsR"
"504","BorobiaM","StolenM"
"672","BorobiaM","SecchiE"
"102","BottaS","MuelbertM"
"270","BottaS","SecchiE"
"66","BravoE","HeckelG"
"234","BravoE","SchrammY"
"402","BravoE","EscobarFernándezR"
"153","CaballeroS","TrujilloF"
"154","CaballeroS","HeimeierD"
"321","CaballeroS","ViannaJ"
"322","CaballeroS","TrujilloF"
"489","CaballeroS","BarriosGarridoH"
"490","CaballeroS","ViannaJ"
"657","CaballeroS","MontielVillalobosM"
"658","CaballeroS","BarriosGarridoH"
"825","CaballeroS","BeltránPedrerosS"
"826","CaballeroS","MontielVillalobosM"
"993","CaballeroS","MarmontelM"
"994","CaballeroS","BeltránPedrerosS"
"1161","CaballeroS","SantosM"
"1162","CaballeroS","MarmontelM"
"1329","CaballeroS","RossiSantosM"
"1330","CaballeroS","SantosM"
"1497","CaballeroS","SantosF"
"1498","CaballeroS","RossiSantosM"
"1665","CaballeroS","BakerC"
"1666","CaballeroS","SantosF"
"1834","CaballeroS","BakerC"
"73","CabreraE","CarlsonC"
"241","CabreraE","GallettiVernazzaniB"
"77","CappozzoH","NegriM"
"118","CappozzoH","NegriM"
"245","CappozzoH","MahlerB"
"286","CappozzoH","PérezF"
"413","CappozzoH","LiaV"
"454","CappozzoH","AlbaredaD"
"581","CappozzoH","MartinezP"
"622","CappozzoH","MonzónF"
"749","CappozzoH","GianggiobeA"
"790","CappozzoH","CorcueraJ"
"917","CappozzoH","SaubidetA"
"133","CarvalhoV","MeirellesA"
"301","CarvalhoV","MottaM"
"469","CarvalhoV","MaiaD"
"637","CarvalhoV","CampelloM"
"805","CarvalhoV","BevilaquaC"
"132","CastelblancoMartínezD","MoralesVelaB"
"300","CastelblancoMartínezD","HernándezAranaH"
"468","CastelblancoMartínezD","PadillaSaldivarJ"
"81","CostaP","PraderiR"
"249","CostaP","PiedraM"
"417","CostaP","FrancoFraguasP"
"38","CrespiAbrilA","GarcíaN"
"206","CrespiAbrilA","CrespoE"
"374","CrespiAbrilA","CoscarellaM"
"9","CrespoE","SecchiE"
"151","CrespoE","AlarcónD"
"177","CrespoE","DallaRosaL"
"319","CrespoE","AlonsoM"
"345","CrespoE","KinasP"
"487","CrespoE","BazzaloM"
"513","CrespoE","DanilewiczD"
"655","CrespoE","BorobiaM"
"681","CrespoE","BordinoP"
"823","CrespoE","CremerM"
"991","CrespoE","FillaG"
"1159","CrespoE","LodiL"
"1327","CrespoE","MagalhãesF"
"1495","CrespoE","MarigoJ"
"1663","CrespoE","QueirózH"
"1831","CrespoE","ReynoldsJ"
"1999","CrespoE","SchaefferY"
"2167","CrespoE","DornelesP"
"2335","CrespoE","LailsonBritoJ"
"2503","CrespoE","WetzelD"
"166","CunhaH","AzevedoA"
"334","CunhaH","LailsonBritoJ"
"5","DanilewiczD","RosasF"
"173","DanilewiczD","BastidaR"
"341","DanilewiczD","MarigoJ"
"509","DanilewiczD","MuelbertM"
"677","DanilewiczD","RodríguezD"
"845","DanilewiczD","LailsonBritoJ"
"1013","DanilewiczD","RuoppoloV"
"1181","DanilewiczD","RamosR"
"1349","DanilewiczD","BassoiM"
"1517","DanilewiczD","OttP"
"1685","DanilewiczD","CaonG"
"1853","DanilewiczD","RochaA"
"2021","DanilewiczD","CatãoDiasJ"
"2189","DanilewiczD","SecchiE"
"149","daSilvaV","FettucciaD"
"317","daSilvaV","RodriguesE"
"485","daSilvaV","EdwardsH"
"653","daSilvaV","MorenoI"
"821","daSilvaV","MouraJ"
"989","daSilvaV","WedekinL"
"1157","daSilvaV","BazzaloM"
"1325","daSilvaV","EminLimaN"
"1493","daSilvaV","CarmoN"
"1661","daSilvaV","SicilianoS"
"1829","daSilvaV","UtrerasV"
"140","DíazAguirreF","NavarreteS"
"308","DíazAguirreF","SalinasC"
"476","DíazAguirreF","HiriartL"
"644","DíazAguirreF","CastilloV"
"812","DíazAguirreF","ZeregaA"
"980","DíazAguirreF","RitterR"
"1148","DíazAguirreF","CastillaC"
"41","DrehmerC","OliveiraL"
"44","DrehmerC","FabiánM"
"212","DrehmerC","MeneghetiJ"
"163","EminLimaN","MouraL"
"331","EminLimaN","RodriguesA"
"499","EminLimaN","SilvaM"
"37","FaillaSiquierG","LeBasA"
"100","FaustinoC","daSilvaV"
"70","FélixF","VanWaerebeekK"
"125","FélixF","BoteroN"
"293","FélixF","FalconíJ"
"124","FernandesM","CordeiroA"
"292","FernandesM","CarvalhoD"
"460","FernandesM","SantosW"
"628","FernandesM","RamosR"
"61","FertlD","BarrosN"
"229","FertlD","RowlettR"
"397","FertlD","EstesS"
"565","FertlD","RichlenM"
"47","FloresP","BazzaloM"
"99","FloresP","BazzaloM"
"101","FloresP","FountouraN"
"165","FloresP","BazzaloM"
"333","FloresP","CaballeroS"
"501","FloresP","SantosM"
"669","FloresP","RossiSantosM"
"837","FloresP","TrujilloF"
"1005","FloresP","BolañosJiménezJ"
"1173","FloresP","CremerM"
"1341","FloresP","MayColladoL"
"1509","FloresP","SilvaF"
"1677","FloresP","MontielVillalobosM"
"1845","FloresP","AzevedoA"
"2013","FloresP","MeirellesA"
"2181","FloresP","FlachL"
"2349","FloresP","BarriosGarridoH"
"2517","FloresP","SimõesLopesP"
"2685","FloresP","CunhaH"
"2853","FloresP","VanWaerebeekK"
"113","ForestellP","UrbánRamírezJ"
"137","FraijaN","FlórezGonzálezL"
"305","FraijaN","JáureguiA"
"129","FrancoTrecuV","CostaP"
"297","FrancoTrecuV","AbudC"
"465","FrancoTrecuV","DimitriadisC"
"633","FrancoTrecuV","LaportaP"
"801","FrancoTrecuV","PassadoreC"
"969","FrancoTrecuV","SzephegyiM"
"28","GarcíaC","DawsonS"
"48","GarcíaC","TrujilloF"
"122","GarcíaGodosI","VanWaerebeekK"
"290","GarcíaGodosI","ReyesJ"
"458","GarcíaGodosI","AlfaroShiguetoJ"
"626","GarcíaGodosI","AriasSchreiberM"
"13","GerpeM","RodríguezD"
"181","GerpeM","MorenoV"
"349","GerpeM","BastidaR"
"517","GerpeM","MorenoJ"
"127","GómezA","MendezM"
"164","GómezSalazarC","PortocarreroAyaM"
"332","GómezSalazarC","TrujilloF"
"500","GómezSalazarC","CaballeroS"
"668","GómezSalazarC","BolañosJiménezJ"
"836","GómezSalazarC","UtrerasV"
"1004","GómezSalazarC","McGuireT"
"1172","GómezSalazarC","FerrerPérezA"
"1340","GómezSalazarC","PoolM"
"1508","GómezSalazarC","AliagaRosselE"
"75","GrandiM","BurenA"
"243","GrandiM","CrespoE"
"411","GrandiM","GarcíaN"
"579","GrandiM","SvendsenG"
"747","GrandiM","DansS"
"68","GrochK","PalazzoJ"
"236","GrochK","FloresP"
"404","GrochK","AdlerF"
"572","GrochK","FabiánM"
"40","GurjãoL","FurtadoNetoM"
"63","GurjãoL","FreitasJ"
"208","GurjãoL","SantosR"
"231","GurjãoL","AraújoD"
"376","GurjãoL","CasconP"
"158","HardtF","CremerM"
"326","HardtF","TonelloA"
"494","HardtF","SimõesLopesP"
"30","HasselL","VenturottiA"
"198","HasselL","MagalhãesF"
"366","HasselL","CuencaS"
"534","HasselL","SicilianoS"
"702","HasselL","MarquesF"
"18","HigaA","HingstZaherE"
"186","HigaA","VivoM"
"36","IñíguezM","HeviaM"
"204","IñíguezM","GasparrouC"
"372","IñíguezM","TomsinA"
"540","IñíguezM","SecchiE"
"134","JeffersonT","OlsonP"
"302","JeffersonT","KieckheferT"
"470","JeffersonT","RojasBrachoL"
"6","KinasP","SecchiE"
"65","KinasP","SilvaK"
"174","KinasP","RamosR"
"233","KinasP","EstimaS"
"342","KinasP","DanilewiczD"
"401","KinasP","MonteiroD"
"510","KinasP","CrespoE"
"83","LabradaMartagónV","AuriolesGamboaD"
"251","LabradaMartagónV","MartínezDíazS"
"162","LaetaM","SouzaSM"
"330","LaetaM","SicilianoS"
"14","LailsonBritoJ","AzeredoM"
"182","LailsonBritoJ","MalmO"
"350","LailsonBritoJ","RamosR"
"518","LailsonBritoJ","DiBenedittoA"
"686","LailsonBritoJ","SaldanhaM"
"76","LaportaP","PraderiR"
"244","LaportaP","LittleV"
"412","LaportaP","LeBasA"
"71","LimaD","VergaraParenteJ"
"239","LimaD","YoungR"
"407","LimaD","PaszkiewiczE"
"32","MagalhãesF","HasselL"
"200","MagalhãesF","VenturottiA"
"368","MagalhãesF","SicilianoS"
"79","MaiaNogueiraR","NunesJ"
"15","MarigoJ","RosasF"
"183","MarigoJ","AndradeA"
"351","MarigoJ","OliveiraM"
